date,new_fans,people_talking_about
17/07/2018,492,656
18/07/2018,-1119,660
19/07/2018,-132,667
20/07/2018,-641,650
21/07/2018,1086,669
22/07/2018,-1091,707
23/07/2018,-470,747
24/07/2018,6,772
25/07/2018,512,803
26/07/2018,-759,918
27/07/2018,203,1046
28/07/2018,-726,1064
29/07/2018,1039,1159
30/07/2018,-499,1299
31/07/2018,711,1320
01/08/2018,-1241,1209
02/08/2018,14,1126
03/08/2018,-878,1098
04/08/2018,-679,1086
05/08/2018,242,983
06/08/2018,-125,934
07/08/2018,-304,846
08/08/2018,-170,863
09/08/2018,-503,825
10/08/2018,-518,713
11/08/2018,64,661
12/08/2018,118,600
13/08/2018,-775,512
14/08/2018,40,480
15/08/2018,-166,414
16/08/2018,1356,407
17/08/2018,581,504
18/08/2018,671,781
19/08/2018,110,1068
20/08/2018,443,1073
21/08/2018,-944,1076
22/08/2018,-822,1074
23/08/2018,537,1039
24/08/2018,-258,878
25/08/2018,-174,686
26/08/2018,223,488
27/08/2018,-686,480
28/08/2018,-503,493
29/08/2018,-235,489
30/08/2018,-441,527
31/08/2018,-165,498
01/09/2018,-52,431
02/09/2018,576,444
03/09/2018,-1231,466
04/09/2018,989,504
05/09/2018,-243,465
06/09/2018,284,450
07/09/2018,450,404
08/09/2018,403,964
09/09/2018,1829,1428
10/09/2018,325,1972
11/09/2018,2675,2147
12/09/2018,678,2258
13/09/2018,355,2264
14/09/2018,1838,1895
15/09/2018,3181,1428
16/09/2018,3005,926
17/09/2018,3222,664
18/09/2018,1136,640
19/09/2018,1221,692
20/09/2018,258,679
21/09/2018,-623,671
22/09/2018,-392,657
23/09/2018,121,635
24/09/2018,-965,478
25/09/2018,1643,346
26/09/2018,-234,330
27/09/2018,-621,368
28/09/2018,989,354
29/09/2018,-406,344
30/09/2018,-585,365
01/10/2018,-548,342
02/10/2018,429,352
03/10/2018,-442,353
04/10/2018,-1032,324
05/10/2018,-652,340
06/10/2018,0,340
07/10/2018,0,340
08/10/2018,0,340
09/10/2018,0,340
10/10/2018,0,340
11/10/2018,0,340
12/10/2018,0,340
13/10/2018,0,340
14/10/2018,0,340
15/10/2018,0,340
16/10/2018,0,340
17/10/2018,0,340
18/10/2018,0,340
19/10/2018,0,340
